n:144 mse_avg:1701.07 mse_y:2535.54 mse_u:28.98 mse_v:35.26 psnr_avg:15.82 psnr_y:14.09 psnr_u:33.51 psnr_v:32.66 
n:145 mse_avg:1714.73 mse_y:2555.67 mse_u:29.52 mse_v:36.15 psnr_avg:15.79 psnr_y:14.06 psnr_u:33.43 psnr_v:32.55 
n:146 mse_avg:1730.08 mse_y:2578.62 mse_u:29.48 mse_v:36.52 psnr_avg:15.75 psnr_y:14.02 psnr_u:33.44 psnr_v:32.50 
n:147 mse_avg:1739.84 mse_y:2593.23 mse_u:29.58 mse_v:36.49 psnr_avg:15.73 psnr_y:13.99 psnr_u:33.42 psnr_v:32.51 
n:148 mse_avg:1737.82 mse_y:2590.60 mse_u:29.28 mse_v:35.21 psnr_avg:15.73 psnr_y:14.00 psnr_u:33.47 psnr_v:32.66 
n:149 mse_avg:1676.48 mse_y:2499.28 mse_u:28.38 mse_v:33.35 psnr_avg:15.89 psnr_y:14.15 psnr_u:33.60 psnr_v:32.90 
n:150 mse_avg:1637.36 mse_y:2440.94 mse_u:28.01 mse_v:32.39 psnr_avg:15.99 psnr_y:14.26 psnr_u:33.66 psnr_v:33.03 
n:151 mse_avg:1566.22 mse_y:2335.02 mse_u:26.53 mse_v:30.73 psnr_avg:16.18 psnr_y:14.45 psnr_u:33.89 psnr_v:33.25 
n:152 mse_avg:1522.66 mse_y:2269.92 mse_u:25.59 mse_v:30.65 psnr_avg:16.30 psnr_y:14.57 psnr_u:34.05 psnr_v:33.27 
n:153 mse_avg:1497.28 mse_y:2231.97 mse_u:25.34 mse_v:30.42 psnr_avg:16.38 psnr_y:14.64 psnr_u:34.09 psnr_v:33.30 
n:154 mse_avg:1468.58 mse_y:2188.98 mse_u:25.26 mse_v:30.30 psnr_avg:16.46 psnr_y:14.73 psnr_u:34.11 psnr_v:33.32 
n:155 mse_avg:1471.33 mse_y:2193.03 mse_u:25.26 mse_v:30.59 psnr_avg:16.45 psnr_y:14.72 psnr_u:34.11 psnr_v:33.28 
n:156 mse_avg:1472.31 mse_y:2194.56 mse_u:25.24 mse_v:30.39 psnr_avg:16.45 psnr_y:14.72 psnr_u:34.11 psnr_v:33.30 
n:157 mse_avg:1488.12 mse_y:2217.81 mse_u:26.18 mse_v:31.30 psnr_avg:16.40 psnr_y:14.67 psnr_u:33.95 psnr_v:33.17 
n:158 mse_avg:1488.74 mse_y:2218.43 mse_u:26.55 mse_v:32.15 psnr_avg:16.40 psnr_y:14.67 psnr_u:33.89 psnr_v:33.06 
n:159 mse_avg:1480.94 mse_y:2206.63 mse_u:26.60 mse_v:32.55 psnr_avg:16.43 psnr_y:14.69 psnr_u:33.88 psnr_v:33.00 
n:160 mse_avg:1508.83 mse_y:2248.03 mse_u:27.37 mse_v:33.45 psnr_avg:16.34 psnr_y:14.61 psnr_u:33.76 psnr_v:32.89 
n:161 mse_avg:1457.92 mse_y:2171.79 mse_u:27.41 mse_v:32.96 psnr_avg:16.49 psnr_y:14.76 psnr_u:33.75 psnr_v:32.95 
n:162 mse_avg:1407.15 mse_y:2096.06 mse_u:26.84 mse_v:31.79 psnr_avg:16.65 psnr_y:14.92 psnr_u:33.84 psnr_v:33.11 
n:163 mse_avg:1298.77 mse_y:1934.34 mse_u:25.79 mse_v:29.47 psnr_avg:17.00 psnr_y:15.27 psnr_u:34.02 psnr_v:33.44 
n:164 mse_avg:1248.70 mse_y:1859.66 mse_u:25.03 mse_v:28.53 psnr_avg:17.17 psnr_y:15.44 psnr_u:34.15 psnr_v:33.58 
n:165 mse_avg:1218.70 mse_y:1814.76 mse_u:24.79 mse_v:28.35 psnr_avg:17.27 psnr_y:15.54 psnr_u:34.19 psnr_v:33.60 
n:166 mse_avg:1252.10 mse_y:1864.62 mse_u:25.22 mse_v:28.89 psnr_avg:17.15 psnr_y:15.42 psnr_u:34.11 psnr_v:33.52 
